uid	text	label	metadata__wavenum	metadata__ideo5	metadata__row_number
2694	donald trump just being stupid and egotistical again	0	7	Liberal	2694
2874	donald trump just donald trump hes incompetent and just plain mean and nasty	0	8	Very liberal	2874
703	donald trump keeping his campaign promises	1	4	Conservative	703
815	donald trump keeping his promise	1	4	Moderate	815
5760	donald trump keeping jobs in the u s	1	4	Conservative	5760
696	donald trump keeping to his promises	1	4	Conservative	696
4243	donald trump keeps on and it gets worse	0	7	Liberal	4243
3765	donald trump keeps rolling back president barack obama advances only a month in and its too much to handle some days	0	4	Very liberal	3765
3323	donald trump kissing up to perverts	0	11	Very conservative	3323
4003	donald trump korea boom	0	6	Not sure	4003
4080	donald trump lack of civility or interpersonal skill especially as it relates to international relations	0	6	Liberal	4080
3542	donald trump lack of experience	0	3	Conservative	3542
4334	donald trump lack of leadership	0	7	Moderate	4334
3606	donald trump lack of leadership qualities and the people who surround him	0	3	Liberal	3606
3591	donald trump lack of political knowledge and bad behavior	0	3	Liberal	3591
2878	donald trump lack of respect for john mccain	0	8	Liberal	2878
3395	donald trump latest illegal and unpresidential behavior and name calling	0	12	Liberal	3395
3504	donald trump law breaking	0	12	Liberal	3504
5868	donald trump leadership	1	6	Conservative	5868
3609	donald trump leadership abilities	0	3	Very conservative	3609
962	donald trump leadership which has created a great economy and a rising stock market along with increased funding for the military and his attempts to drain the swamp	1	8	Very conservative	962
6129	donald trump leading our nation	1	8	Liberal	6129
4504	donald trump leading us into a recession or war	0	8	Liberal	4504
6394	donald trump leave the president of united states position	1	9	Liberal	6394
6266	donald trump leaves the white house	1	8	Moderate	6266
5955	donald trump leaving office	1	7	Moderate	5955
3472	donald trump lie cheat	0	12	Liberal	3472
1355	donald trump lies	0	4	Moderate	1355
1798	donald trump lies and manipulations the fact that people cant think for themselves and vote along party lines without regard for the actual effects	0	9	Very liberal	1798
2685	donald trump lies and propaganda	0	7	Moderate	2685
1667	donald trump lies and racism he sits down with dictator he keeps everything a secret	0	8	Not sure	1667
3011	donald trump lies he tells so many and his worshipers dont care	0	9	Moderate	3011
3126	donald trump lies on twitter	0	10	Moderate	3126
4293	donald trump life that needs to be eliminated	0	7	Liberal	4293
5375	donald trump looks like hes picking a conservative cabinet	1	3	Conservative	5375
6654	donald trump loses election	1	11	Moderate	6654
5071	donald trump losing	0	11	Very conservative	5071
5022	donald trump loss	0	11	Conservative	5022
2311	donald trump love and haters	0	4	Moderate	2311
6075	donald trump love for god and our country	1	7	Very conservative	6075
5479	donald trump lowering taxes building a wall around mexico u s a border	1	3	Moderate	5479
847	donald trump lowest unemployment in 17 years stock market highs the way he greets the fellow man ! !	1	6	Conservative	847
1924	donald trump lying	0	10	Liberal	1924
2740	donald trump lying about robert mueller mueller investigation and trying to make himself look like a saint	0	7	Moderate	2740
1828	donald trump lying and acting childish	0	9	Moderate	1828
3019	donald trump lying and lying and lying and republicans turning a blind eye or even engaging in the same	0	9	Very liberal	3019
5580	donald trump made promises and since he is a man of his words and honest we believe he will do good for the people of america not illegals who we cant afford to keep	1	4	Very conservative	5580
2901	donald trump made snide comments about john mccain after he died	0	8	Very liberal	2901
477	donald trump make america great again fighting for our country doesnt kiss asses	1	11	Very conservative	477
5985	donald trump make america great agenda	1	7	Conservative	5985
402	donald trump make me feel that way	1	10	Conservative	402
1708	donald trump makes me angry	0	8	Liberal	1708
368	donald trump makes me proud	1	9	Conservative	368
509	donald trump makes me proud ! ! ! ! ! ! ! at	1	11	Very conservative	509
244	donald trump making america for the people again	1	7	Very liberal	244
369	donald trump making america great again	1	10	Very conservative	369
2471	donald trump making an ass out of herself every day donald trump embarrassing america every day donald trump keeping reporters out of the press room in the white house donald trump is the main thing donald trump donald trump donald trump donald trump hes a jackass	0	4	Moderate	2471
4845	donald trump making decisions without consulting other	0	10	Liberal	4845
3041	donald trump making derogatory comments about women immigrants muslims democrats etc etc	0	9	Moderate	3041
2961	donald trump making fun of sexual assault victims	0	9	Moderate	2961
4106	donald trump making more stuff for us to suffer	0	6	Liberal	4106
850	donald trump making president over hillary clinton !	1	6	Conservative	850
4308	donald trump making stupid comments on twitter	0	7	Liberal	4308
4071	donald trump making terrible decisions for the country and republicans following him	0	6	Moderate	4071
5121	donald trump managing to get reelected	0	11	Liberal	5121
2624	donald trump mass shooting in texas	0	6	Liberal	2624
4502	donald trump may be able to avoid prosecution for his illegal conduct	0	8	Liberal	4502
5477	donald trump may be able to change things	1	3	Moderate	5477
6173	donald trump may be impeached	1	8	Moderate	6173
6588	donald trump may be impeached or his son donald trump jr may be indicted	1	10	Liberal	6588
6956	donald trump may be impeached or will be set to lose in 2020	1	12	Liberal	6956
5197	donald trump may be reelected	0	12	Liberal	5197
5312	donald trump may get us into another war	0	12	Moderate	5312
1100	donald trump may impose a nation emergency and build the wall heart beat laws	1	10	Moderate	1100
4034	donald trump may just get us in a war with north korea	0	6	Very liberal	4034
5603	donald trump may make the necessary changes needed to this country	1	4	Moderate	5603
3553	donald trump may not keep his promises	0	3	Conservative	3553
4193	donald trump may pass another stupid bill	0	7	Liberal	4193
4055	donald trump may still be in office	0	6	Moderate	4055
4645	donald trump may still be president	0	9	Liberal	4645
3831	donald trump media and resistance	0	4	Moderate	3831
4124	donald trump medical treatment policies tolerance and acceptance of differences	0	6	Moderate	4124
1626	donald trump members of congress politicians in general	0	7	Moderate	1626
1167	donald trump mending fences with our european allies after that thing did everything he could to ruin the countrys standing in the world	1	11	Very conservative	1167
4840	donald trump messing up more than he has especially on dividing our country	0	10	Liberal	4840
4956	donald trump might be elected again	0	10	Moderate	4956
5794	donald trump might be forced to resign or be impeached	1	6	Moderate	5794
5913	donald trump might be impeached and his administration discredited	1	6	Very liberal	5913
5248	donald trump might be reelected	0	12	Very liberal	5248
4132	donald trump might continue	0	6	Very liberal	4132
3978	donald trump might further divide the nation	0	6	Moderate	3978
5273	donald trump might get a second term	0	12	Very liberal	5273
5040	donald trump might get reelected	0	11	Very liberal	5040
6641	donald trump might not be elected president again	1	10	Moderate	6641
4520	donald trump might provoke world war iii	0	8	Very liberal	4520
4455	donald trump might run for 2020	0	8	Liberal	4455
4269	donald trump might win	0	7	Liberal	4269
4979	donald trump might win again	0	11	Liberal	4979
5430	donald trump mike pence and a congress run by somewhat conservative legislators we may actually get rid of ocommiecare obamacare !	1	3	Conservative	5430
6524	donald trump mike pence and his appointees get impeached	1	10	Moderate	6524
4090	donald trump mike pence being president and republicans in control of the government	0	6	Liberal	4090
1368	donald trump mike pence paul ryan and other corrupt greedy conservative republicans and their followers	0	4	Very liberal	1368
1286	donald trump mike pence rnc	0	3	Very liberal	1286
2253	donald trump mike pence steve bannon rudy giuliani etc	0	3	Very liberal	2253
2182	donald trump mike pence the american electorate	0	3	Liberal	2182
5984	donald trump mike pence will be impeached and or jailed paul ryan ted cruz will lose mitch mcconnell will finally fall out of power	1	7	Very liberal	5984
1899	donald trump mismanagement	0	10	Liberal	1899
5325	donald trump mismanagement of economy and national security	0	12	Very liberal	5325
3426	donald trump mitch mcconnell lack of progress with gun control the deficit lack of progress in climate change policies race relations	0	12	Liberal	3426
1586	donald trump mitch mcconnell paul ryan republicans party before country	0	7	Very liberal	1586
2044	donald trump mitch mcconnell the republican party and the entire administration they are putting power and party over country and are blatantly fascist they are aiding and abetting a criminal administration to destroy this country unchecked	0	12	Liberal	2044
2647	donald trump mocking other human beings	0	7	Liberal	2647
3491	donald trump mocking the teenage girl on a mission to fight climate change	0	12	Liberal	3491
2728	donald trump most recent rally	0	7	Liberal	2728
3300	donald trump mouth	0	11	Moderate	3300
4416	donald trump mouth and getting us into war	0	8	Liberal	4416
2918	donald trump mouthing off at people	0	8	Moderate	2918
6451	donald trump nastiness being exposed	1	9	Liberal	6451
6345	donald trump needs to be put in his place	1	9	Moderate	6345
2784	donald trump negative attitude toward people minority individuals people seeking asylum our president in general	0	8	Very liberal	2784
2634	donald trump negative comments about other people	0	6	Conservative	2634
2489	donald trump negative effect on previously established transgender rights	0	4	Conservative	2489
5066	donald trump negativity	0	11	Liberal	5066
1221	donald trump negotiating hard with china to get a fair trade deal	1	12	Very conservative	1221
2907	donald trump negotiations with canada	0	8	Moderate	2907
3899	donald trump new laws and rules for america	0	4	Not sure	3899
3230	donald trump new tariffs on mexico	0	11	Liberal	3230
2597	donald trump news	0	6	Liberal	2597
2943	donald trump news conference	0	9	Very liberal	2943
1174	donald trump no collusion	1	11	Moderate	1174
759	donald trump no fly law	1	4	Conservative	759
4176	donald trump north korea healthcare	0	6	Liberal	4176
886	donald trump not backing down to north korea	1	6	Very conservative	886
5344	donald trump not being impeached	0	12	Very liberal	5344
1422	donald trump not being impeached yet the gop normalizing his racist and dangerous policies and covering up his blatant corruption	0	6	Very liberal	1422
3793	donald trump not doing what he campaigned about or changing what he campaigned about	0	4	Moderate	3793
5932	donald trump not falling for gun control	1	6	Not sure	5932
3817	donald trump not getting impeached	0	4	Very liberal	3817
4321	donald trump not getting removed and his allies gaining control of the u s government and turning is into an extension of russia or something similar	0	7	Liberal	4321
301	donald trump not giving in to the democrats and liberal news media i love the fact that he tweets and we hear it from the horses mouth im proud that the stock market is reflecting the changes in a positive way	1	8	Very conservative	301
5393	donald trump not taking any pay talking about getting things done for all not just a select few	1	3	Conservative	5393
5241	donald trump not winning	0	12	Very conservative	5241
5138	donald trump not winning and a democrat winning	0	12	Moderate	5138
4898	donald trump nuclear waste being unilaterally and secretly transported to nevada erosion of state rights the fear that roe v wade may be overturned in the new supreme court the fear that donald trump will remain in office for two more years and continue to steadily erode american values and our reputation in the world the fear that the children in cages wont be returned to their families and that the judicial system will be overwhelmed by this administration fear of brexit the violence in venezuela the constant threats of military action the aggressing nations of russia iran north korea etc development of new nuclear weapons the fear that if we abandon and betray our allies they will abandon us as well who donald trump will fire and appoint in their place	0	10	Very liberal	4898
1160	donald trump numbers better than ever	1	11	Moderate	1160
3337	donald trump once again colluding with foreign entities	0	12	Liberal	3337
2403	donald trump one of the most unqualified politicians ever is wait for it the leader of the free world what a joke	0	4	Liberal	2403
599	donald trump one presidency !	1	3	Not sure	599
3829	donald trump opposition	0	4	Conservative	3829
3249	donald trump ordering staff and former staff to defy congressional subpoenas	0	11	Liberal	3249
6274	donald trump out of office	1	8	Moderate	6274
6740	donald trump overwhelming in 2020	1	11	Very conservative	6740
380	donald trump patriotism everything about the economy	1	10	Conservative	380
1833	donald trump paul ryan mitch mcconnell the nra and ultra rich corporations not paying taxes and destroying our planet	0	9	Very liberal	1833
2428	donald trump people who believe that ideology is more important than truth eg ted cruz and many of the republicans in congress hate crimes and antisemitism	0	4	Very liberal	2428
2833	donald trump period	0	8	Very liberal	2833
6119	donald trump persistence	1	8	Very conservative	6119
6289	donald trump plan for immigration	1	9	Moderate	6289
5453	donald trump plans to control illegal immigration economic recovery	1	3	Moderate	5453
5964	donald trump policies and the changes he has made so far and will continue to make and that the people are getting disgusted with the democrats liberals americans are waking up to the corruption with the clintons barack obama and all the other evil ones involved with trying to take down our president and our country	1	7	Very conservative	5964
6468	donald trump policies will prevail donald trump will develop more statesman like behavior	1	10	Very conservative	6468
5309	donald trump policies will result in a major recession either because of his tariff policy or he will stumble us into a war	0	12	Liberal	5309
6932	donald trump policies will win out over his personal foibles and the democrats are heading so far left that they are becoming a less attractive choice than donald trump	1	12	Very conservative	6932
3990	donald trump policies with north korea	0	6	Moderate	3990
3805	donald trump policy changes may move forward such as expanding the military budget dismantling the affordable care act expanding the physical border	0	4	Liberal	3805
2413	donald trump policy on immigrants education environment and finance to name a few	0	4	Liberal	2413
1725	donald trump political polarization	0	8	Conservative	1725
2475	donald trump politics	0	4	Very conservative	2475
4452	donald trump politics dont agree with mine	0	8	Very liberal	4452
3823	donald trump position on world trade and his separatist attitudes are going to take us into war	0	4	Liberal	3823
6239	donald trump possible impeachment	1	8	Not sure	6239
3010	donald trump postelection day performance and the fact we still have to put up with his nastiness	0	9	Liberal	3010
3894	donald trump presidency and supporters	0	4	Moderate	3894
4937	donald trump presidency economy	0	10	Very liberal	4937
3602	donald trump presidency specifically his naming of white nationalists to important posts	0	3	Very liberal	3602
3574	donald trump presidency with republican control of the house and senate	0	3	Liberal	3574
724	donald trump presidential leadership	1	4	Conservative	724
3047	donald trump press conference	0	9	Liberal	3047
3463	donald trump pressuring ukraine pompeo blaming iran and ignoring houthi and yemeni suffering democrats tearing each other apart donald trump lying netanyahu promising to annex palestinian land boris johnson subverting parliament	0	12	Very liberal	3463
6786	donald trump probable reelection	1	11	Conservative	6786
6789	donald trump probably wont be president much longer	1	11	Very liberal	6789
880	donald trump programs	1	6	Very conservative	880
5746	donald trump promises	1	4	Very conservative	5746
3358	donald trump proposed repeal of auto emission standards	0	12	Moderate	3358
1010	donald trump protecting the border	1	9	Conservative	1010
2230	donald trump protesters	0	3	Very conservative	2230
2156	donald trump protests	0	3	Conservative	2156
4410	donald trump provoking a war the constant possibility of mass shootings	0	8	Very liberal	4410
920	donald trump putting america first	1	7	Very conservative	920
4390	donald trump putting back in to war	0	8	Moderate	4390
3048	donald trump racism	0	9	Moderate	3048
1395	donald trump racism and all of the lies coming out of the white house	0	4	Very liberal	1395
2547	donald trump racism gun violence tax giveaway for most wealthy 1% lies by congress threats to end healthcare and social security et	0	6	Moderate	2547
1516	donald trump racist actions	0	6	Liberal	1516
1552	donald trump racist attitude	0	7	Very liberal	1552
3781	donald trump racist behavior	0	4	Liberal	3781
3689	donald trump racist policies	0	3	Moderate	3689
1129	donald trump raising tariffs on the chinese and hopefully on the mexican	1	11	Conservative	1129
347	donald trump rallies	1	9	Very conservative	347
1134	donald trump reading prayer at d-day anniversary	1	11	Conservative	1134
3747	donald trump really has no clue what he is doing as a leader of our nation he has no political experience to base his presidency on with the talk of nuclear weapons and the war we are already in over our heads i feel that this could be a disastrous situation	0	4	Moderate	3747
2903	donald trump recklessness in the white house lack of control of staff	0	8	Very liberal	2903
6785	donald trump reelected	1	11	Moderate	6785
6815	donald trump reelection and economy	1	11	Conservative	6815
6583	donald trump reelection campaign will start and all the democrat hacks will be exposed for the a holes that they all are	1	10	Very conservative	6583
2692	donald trump referred to democratic members of congress who didnt clap during his state of the union as traitors	0	7	Liberal	2692
3862	donald trump refusal to tackle seriously needed reforms like civil asset forfeiture and drug prohibitionism	0	4	Moderate	3862
4138	donald trump regime of crooks liars and the lack of ethics ripping off the american people donald trump and congress taking care of the rich and their cronies	0	6	Moderate	4138
737	donald trump reimposing the rule of law	1	4	Conservative	737
2303	donald trump relationship with russia	0	4	Liberal	2303
3931	donald trump relationships with foreign countries and leaders	0	4	Very liberal	3931
2708	donald trump releasing nunes memo	0	7	Very liberal	2708
4194	donald trump remaining in office	0	7	Moderate	4194
4667	donald trump remaining president	0	9	Very liberal	4667
4871	donald trump remains the president	0	10	Conservative	4871
5391	donald trump removed lobbyists donald trump chose not to take a salary i believe that he is earnest in wanting to clean up corruption in dc	1	3	Conservative	5391
767	donald trump removing criminals from the u s and building a wall at the mexican border	1	4	Moderate	767
6220	donald trump renegotiating trade deals with other countries	1	8	Very conservative	6220
2377	donald trump repealing protections for transgenders and rhetoric against immigrants	0	4	Moderate	2377
1879	donald trump republicans	0	10	Moderate	1879
1736	donald trump republicans and establishment neo liberal democrats giving power to and obeying the rich and also their hawkishness money in politics and corruption doing nothing to combat climate change trade war and u s a foreign policy including civilian casualties and funding yemen genocide police killing unprovoked and not getting charged with anything	0	8	Liberal	1736
2010	donald trump republicans gop	0	11	Very liberal	2010
4668	donald trump republicans their voting base	0	9	Very liberal	4668
2782	donald trump requesting a military parade	0	7	Moderate	2782
2335	donald trump rescinding protection guidelines for transgender students	0	4	Very liberal	2335
6202	donald trump resigning or being impeached	1	8	Moderate	6202
1040	donald trump response to cnn	1	9	Moderate	1040
2801	donald trump response to john mccain death from lowering raising lowering the flag to belated milquetoast comment etc	0	8	Liberal	2801
2502	donald trump response to the texas shooting	0	6	Moderate	2502
4317	donald trump retaining office	0	7	Moderate	4317
2460	donald trump reversing good laws that protect trans peoples right to use the bathroom they identify with	0	4	Very liberal	2460
5463	donald trump reversing some of the many bad choices barack obama made	1	3	Conservative	5463
2461	donald trump revoking federal arts funding	0	4	Moderate	2461
1810	donald trump revoking the reporters credentials donald trump border wall donald trump sending soldiers to the border and asking them to shoot at migrants donald trump hatred for minorities and people in poverty	0	9	Moderate	1810
2996	donald trump rhetoric against immigrants	0	9	Moderate	2996
2051	donald trump rhetoric of racism sexism and xenophobia male politicians enacting laws against female autonomy under the guise of caring for babies children when in reality it is a means to controlling women	0	12	Liberal	2051
3379	donald trump rolling back clean water protections	0	12	Liberal	3379
2580	donald trump rolling back everything barack obama accomplished and congress doing nothing to strengthen gun laws and availability	0	6	Moderate	2580
2983	donald trump rudeness to reports	0	9	Moderate	2983
3416	donald trump ruining america	0	12	Very liberal	3416
3964	donald trump ruining the economy	0	6	Conservative	3964
1257	donald trump running again	1	12	Conservative	1257
2346	donald trump running his bully mouth	0	4	Very liberal	2346
7036	donald trump running our affairs and economy	1	12	Moderate	7036
2427	donald trump russia and the fact that the republicans refuse to even consider investigation of the accusations rollback of environmental protections and constant attacks on the media	0	4	Liberal	2427
4338	donald trump russia korea war taxes money	0	7	Moderate	4338
1553	donald trump russian conspiracy undermining law enforcement lies lies lies incompetency madness we have a clear and present danger in the white house	0	7	Liberal	1553
5723	donald trump said he would create more jobs this is great news	1	4	Liberal	5723
2160	donald trump said that if he gets elected he would end the corruption in washington but i saw that most of the people that he is considering for various government positions are part of the corruption that has ruled washington for the past 50 years	0	3	Liberal	2160
2509	donald trump said the texas church shooting wasnt a gun problem	0	6	Liberal	2509
3106	donald trump saying he is going to build a wall with human bodies	0	10	Moderate	3106
3046	donald trump saying literally anything	0	9	Liberal	3046
3313	donald trump saying the moon is part of mars	0	11	Liberal	3313
2804	donald trump saying wont give raises to federal workers	0	8	Moderate	2804
3355	donald trump says his crimes cant be prosecuted	0	12	Liberal	3355
4465	donald trump scandals will further divide the government and the country	0	8	Conservative	4465
5341	donald trump scares me he is a loose cannon	0	12	Liberal	5341
7139	donald trump second term	1	12	Very conservative	7139
6619	donald trump securing the border	1	10	Conservative	6619
4975	donald trump seemingly being immune to any and all criticism	0	11	Liberal	4975
3937	donald trump seems to be giving the state secrets of the u s a to the russians	0	4	Moderate	3937
2091	donald trump seems to be overriding his authority	0	12	Conservative	2091
2201	donald trump selection for appointees	0	3	Liberal	2201
3467	donald trump sells out the country by asking yet another foreign power to interfere in elections	0	12	Liberal	3467
3465	donald trump sending troops to saudi arabia	0	12	Liberal	3465
2947	donald trump sending troops to the border	0	9	Liberal	2947
1650	donald trump sh   ing on average americans and making the conservatives believe that he is helping them	0	7	Liberal	1650
2764	donald trump sh  hole comments	0	7	Very liberal	2764
2500	donald trump shenanigans	0	6	Very liberal	2500
2621	donald trump shootings police brutality	0	6	Very liberal	2621
2726	donald trump shootings the flu epidemic	0	7	Moderate	2726
6577	donald trump should do well in tonights speech we will get a wall things will get better	1	10	Conservative	6577
3131	donald trump shutting down the government	0	10	Liberal	3131
914	donald trump signed bill giving 6 virginia tribes federal recognition donald trump state of the union speech not the democrats behavior but the speech was spot on	1	7	Conservative	914
3297	donald trump speaking	0	11	Moderate	3297
995	donald trump speaking against nike	1	8	Very conservative	995
1142	donald trump speaking at normandy	1	11	Moderate	1142
1165	donald trump speech at normandy	1	11	Very conservative	1165
1138	donald trump speech for d-day	1	11	Very conservative	1138
885	donald trump speeches	1	6	Conservative	885
3193	donald trump stance on immigrants and lies	0	10	Moderate	3193
1083	donald trump stand against the democrats	1	10	Moderate	1083
1054	donald trump standing firm on our wall	1	10	Conservative	1054
6549	donald trump standing his ground and getting stuff done	1	10	Very conservative	6549
7083	donald trump standing strong	1	12	Very conservative	7083
997	donald trump standing up for american jobs	1	8	Conservative	997
1006	donald trump standing up to anonymous new york times story	1	8	Moderate	1006
835	donald trump standing up to lifelong self serving politicians	1	6	Conservative	835
830	donald trump standing up to nfl kneeling during anthem tax cuts in process	1	6	Conservative	830
586	donald trump standing up to the democrats	1	12	Very conservative	586
1076	donald trump standing up to the evils of those on the left from the leftists murdering babies to letting child sex trafficker through without being arrested to their bigotry which they display hourly if not more per day	1	10	Very conservative	1076
5119	donald trump starting a new war	0	11	Liberal	5119
4632	donald trump starting a war or corrupting the justice department where the rule of law is no longer common denominator	0	9	Moderate	4632
4182	donald trump starting war	0	6	Conservative	4182
4771	donald trump starting world war iii to avoid being impeached or sent to trial	0	10	Very liberal	4771
938	donald trump state of the union	1	7	Very conservative	938
2715	donald trump state of the union address and his reaction to it	0	7	Liberal	2715
2735	donald trump state of the union speech	0	7	Moderate	2735
673	donald trump stating that god is in control of our country and he is actually backing up the american people like he said he would	1	3	Conservative	673
4059	donald trump staying in office	0	6	Not sure	4059
4506	donald trump stays in office	0	8	Liberal	4506
7033	donald trump stays in the white house	1	12	Conservative	7033
2250	donald trump stealing the election	0	3	Liberal	2250
6825	donald trump stepping down	1	11	Conservative	6825
1413	donald trump steve bannon	0	4	Moderate	1413
3933	donald trump steve bannon and the rest of his administration having such close ties to russia and a republican congress and senate that wont do a thorough investigation and i fear that the press wont be able to dig deep enough to find out the truth	0	4	Moderate	3933
3736	donald trump steve bannon mike pence jeff sessions betsy devos reince priebus toomey and murphy are dangerous people who intend to drive this country into the ground with the help of unchallenged alternate facts	0	4	Very liberal	3736
2372	donald trump steve bannon mitch mcconnell paul ryan and all the spineless minions answering to president vladimir putin	0	4	Liberal	2372
6827	donald trump still alive and well	1	11	Conservative	6827
4149	donald trump still being president	0	6	Moderate	4149
4670	donald trump still being president of the united states	0	9	Very liberal	4670
2992	donald trump still gets away with corruption and government doesnt check him	0	9	Moderate	2992
4656	donald trump still has 2 years left	0	9	Liberal	4656
4650	donald trump still in charge	0	9	Moderate	4650
5046	donald trump still in charge fear over upcoming election results	0	11	Very liberal	5046
4671	donald trump still in control	0	9	Very liberal	4671
4131	donald trump still in office	0	6	Liberal	4131
4470	donald trump still in power	0	8	Liberal	4470
3176	donald trump still pushing for a border wall	0	10	Very liberal	3176
3157	donald trump still trying to build that stupid wall	0	10	Moderate	3157
3162	donald trump still wants his wall all the men making fun of our women in congress	0	10	Moderate	3162
2948	donald trump stoking anti immigrant fear into his base in order to get them to the polls	0	9	Very liberal	2948
1046	donald trump stood up to acosta at a press briefing called cnn fake news	1	9	Conservative	1046
6834	donald trump stopping the illegals	1	11	Conservative	6834
2268	donald trump stuff	0	3	Not sure	2268
744	donald trump successes i think he is doing fine	1	4	Very conservative	744
906	donald trump successes this year	1	7	Conservative	906
1490	donald trump supporters	0	6	Moderate	1490
3364	donald trump supposed inappropriate phone call with the ukraine	0	12	Very conservative	3364
3668	donald trump supreme court picks his pledge to privatize read doom social security his pledge to reverse roe v wade his pledge to define planned parenthood his pledge to destroy the epa his nonsense about building the wall between us and mexico literally everything he has said and promised makes me ill	0	3	Liberal	3668
3558	donald trump surrounding himself and listening to racist homophobic anti lgbtq advisors and giving tax breaks to the supper wealthy white ignoring the needs and aspirations of the working and middle class	0	3	Moderate	3558
6444	donald trump takes on the democrats house and puts the hurt on china	1	9	Moderate	6444
1274	donald trump taking care of america and safe	1	12	Very conservative	1274
1251	donald trump taking on media economy people standing up to this stupid pc culture	1	12	Conservative	1251
577	donald trump taking on the swamp rats	1	12	Very conservative	577
5357	donald trump taking us to war	0	12	Moderate	5357
4943	donald trump taking us war in venezuela	0	10	Very liberal	4943
5068	donald trump talking	0	11	Moderate	5068
2780	donald trump talking about a military parade	0	7	Very liberal	2780
2678	donald trump talking about bombing north korea	0	7	Liberal	2678
2972	donald trump talking about children born in u s from immigrants cant be citizens	0	9	Liberal	2972
1133	donald trump tariff plan	1	11	Moderate	1133
3335	donald trump tariffs	0	11	Very conservative	3335
3303	donald trump tariffs on foreign goods	0	11	Very liberal	3303
3228	donald trump tax cut wealth and income inequality healthcare climate change virtually anything you could name makes me angry i live in a perpetual state of rage about the condition of our society our economy and our culture	0	11	Very liberal	3228
5879	donald trump tax plan	1	6	Moderate	5879
4096	donald trump tax plan taking all the money from the poor and giving huge tax breaks to the 1% and corporations by ruining programs that have been enforce for years	0	6	Liberal	4096
2501	donald trump tax reform plan is a pitiful he should ashamed of himself for saying he cares about the middle class	0	6	Moderate	2501
6427	donald trump taxes being investigated	1	9	Liberal	6427
3904	donald trump tea party gop	0	4	Very liberal	3904
854	donald trump team being investigated	1	6	Liberal	854
3194	donald trump telling more lies	0	10	Liberal	3194
4304	donald trump tense relationship with north korea is frightening im worried that nuclear war could begin	0	7	Moderate	4304
5954	donald trump term is closer to being done	1	7	Liberal	5954
6665	donald trump term is nearing an end	1	11	Liberal	6665
4879	donald trump terrible presidency	0	10	Very liberal	4879
448	donald trump that he hasnt sent troops young people to fight oversea and he hasnt started any war around the world like all presidents before to him	1	11	Conservative	448
3236	donald trump the border wall	0	11	Very liberal	3236
4374	donald trump the bourgeoisie and fascists	0	7	Very liberal	4374
1298	donald trump the descent into conspiratorial madness of most of the republican party denial of climate change gerrymandering and the influence of corporate lobbyists	0	3	Very liberal	1298
1582	donald trump the direction education is going in this country healthcare tax laws	0	7	Very liberal	1582
3373	donald trump the donald asking ukraine for help in digging up dirt on candidate joe biden emoji vomiting face emoji vomiting face emoji vomiting face	0	12	Very liberal	3373
2112	donald trump the entirety of the republican party feckless democratic party	0	12	Liberal	2112
1915	donald trump the gop every pu  y who wont stand up to them	0	10	Very liberal	1915
2442	donald trump the gop the governmental corruption taking place by republicans more obsessed with passing their own agendas then the welfare of the people they work for	0	4	Moderate	2442
2959	donald trump the government all the fake news	0	9	Moderate	2959
2933	donald trump the jackass	0	8	Moderate	2933
1754	donald trump the lies the racism and our congress and senate are complicit in our election and now they all took a pledge to our constitution paul ryan and mitch mcconnell is there 1 honest republican the u s is at an all time low this is sad and dangerous !	0	8	Conservative	1754
2073	donald trump the parties and nothing getting done	0	12	Not sure	2073
194	donald trump the release of the memo so we can get to the truth of what hillary clinton did to throw the election the fact that the house and senate are finally looking into the corrupt democrats that donald trump told the nfl to stand for the national anthem	1	7	Conservative	194
1809	donald trump the republican party and the corruption in politics	0	9	Liberal	1809
1767	donald trump the republican party selling their soul to grab what they can while they can	0	8	Liberal	1767
2741	donald trump the republicans and this whole mess im angry that people believe their lies have no feelings for the dreamers and i could go on and on	0	7	Moderate	2741
1702	donald trump the republicans lack of compassion	0	8	Very liberal	1702
1668	donald trump the republicans mitch mcconnell well everything with a r	0	8	Liberal	1668
2027	donald trump the rise of fascist politics how utterly useless chuck schumer and nancy pelosi are that joe biden is leading in the polls our concentration camps our endless war	0	11	Very liberal	2027
1964	donald trump the role of evangelism donald trump the appetite of the public for hate donald trump inequality donald trump leaders with poor character donald trump republican who dont have the balls to stand up to donald trump	0	11	Liberal	1964
1500	donald trump the seeming tolerance of sexism and racism by the current administration	0	6	Moderate	1500
1585	donald trump the tweeter in chief and the complicit republican party	0	7	Liberal	1585
3149	donald trump the wall the tax scam the diminishing of democracy avoidance of responsible foreign policy gop being anti american pro russian	0	10	Liberal	3149
5626	donald trump the wrecking ball candidate the people he has appointed to various positions in government the laws or executive orders he has passed or proposed the growing distrust in mainstream media	1	4	Very conservative	5626
2950	donald trump thinks he can change the constitution	0	9	Very liberal	2950
3865	donald trump threat of deportation	0	4	Moderate	3865
3266	donald trump threatening our economy with tariffs on mexico	0	11	Very liberal	3266
3115	donald trump threatening state of emergency to get his wall !	0	10	Liberal	3115
1172	donald trump threatening tariffs if mexico continues to ignore the flow of illegal aliens using their country to invade ours	1	11	Moderate	1172
3139	donald trump threatening to shut down government again	0	10	Very liberal	3139
3923	donald trump tires with russia	0	4	Moderate	3923
4965	donald trump total ignorance of what he is doing to america !	0	11	Liberal	4965
853	donald trump tough stance on north korea	1	6	Very conservative	853
