docnames,old.docnames,instance_id,speaker,party,date,agenda,text,EU,CAP 
text1532337.1,NA,158506,Jonathan Edwards,PlaidCymru,09/04/2014,Finance (No. 2) Bill,"The development of the airport could act as a spur to growth in the south Wales economy, bringing in greater foreign direct investment through better business links, which would in turn bring jobs and growth.",0,1
text1535170.1,NA,160166,David Davies,Con,01/05/2014,Work Programme (Wales),"Using that measure, 14.7% of people on the Work programme in Wales found sustained employment.",0,5
text1535426.1,NA,160293,Mark Harper,Con,06/05/2014,Wales Bill,"Cutting taxes generally would be helpful, and if cutting taxes in Wales meant that we saw lower taxes across the United Kingdom, that would be an entirely welcome prospect.",0,1
text1538866.1,NA,162415,Karen Buck,Lab,09/06/2014,Health,The “Shaping a healthier future” agenda translates into a reduction of 15% in the number of A and E admissions to be achieved in north-west London.,0,3
text1485116.1,NA,136186,Robert Goodwill,Con,15/10/2013,Driver and Vehicle Agency (Northern Ireland),"The Department of the Environment in Northern Ireland, which employs the DVA staff, has stated that it will seek to redeploy them and avoid the need for redundancies, where possible.",0,20
1625539,text1349852.1,1704104,Mike Gapes,Lab,28/11/2011,North Africa and the Near and Middle East,"It will be extremely hard to achieve stability and a pluralistic society, given the diversity in Syria that has been mentioned, and we will need to be patient.",0,19
text1196452.1,NA,18551,Greg Mulholland,LibDem,29/10/2009,Social Care Green Paper,"There is concern about the unfairness of a system in which eligibility rules for free NHS continuing care are not applied consistently even throughout England, never mind Wales and Scotland, leading to a postcode lottery-I do not like the term-for those with intensive needs.",0,3
text1337060.1,NA,72869,Mary Glindon,Lab,18/10/2011,Badgers and Bovine TB,"Such a decision was based on the scientific evidence that culling was not the way forward, and because he put faith in developing the vaccine, he set up the Bovine TB Eradication Group for England.",0,4
264353,text1176902.1,275271,Tony Lloyd,Lab,20/05/2009,Nimrod Project,"It will need bigger crews, and it will have certain other disadvantages that will lead to longer ongoing costs than the Nimrod system.",0,16
625916,text1217835.1,653571,Sarah McCarthy-Fry,Lab,10/02/2010,Fuel Duty (Rural Areas),"However, in Portree on Skye, the price is 117p a litre, and in towns such as Invergarry in the highlands the price is 114.4p a litre.",0,8
802376,text1237930.1,838395,Alan Whitehead,Lab,30/06/2010,Energy Efficiency,It was interesting to see nothing in the Budget for Warm Front.,0,8
831299,text1241660.1,868216,John Martin McDonnell,Lab,12/07/2010,Finance Bill,"I accept that an increase of 10% is significant, but it is not significant enough to implement the fairness agenda that the incoming Government have proposed.",0,1
1661301,text1354777.1,1742255,David Morris,Con,13/12/2011,Illegal Music Downloading,That means that we then have to ask search engines to remove pages that sell or trade in illegal material.,0,12
2181281,text1423663.1,2290951,Damian Green,Con,05/12/2012,Police (Complaints And Conduct) Bill,"While I am certain that there is no need to amend the Bill, I am happy to give the Committee the assurance that I will continue to discuss the matter with the IPCC to see whether it needs any longer-term changes.",0,20
2355334,text1446727.1,2475495,Stephen Mosley,Con,06/03/2013,Medical Implants (EU and UK),"If we do not produce those negative data to show where problems are with some products, we may miss problems with other medical implants.",0,3
2887578,text1515511.1,3036432,Alison Seabeck,Lab,04/02/2014,Regional Arts and Culture,"We have production companies such as Two Four productions, and a rehearsal space at TR2 used by west end productions.",0,15
text1240227.1,NA,36594,Roger Williams,LibDem,07/07/2010,Engagements [Oral Answers to Questions > Oral Answers to Questions > Prime Minister > Prime Minister],Will the Prime Minister confirm that Government and EU policy decisions on such matters will be taken on the basis of sound science and proportionate regulation?,1,17
text1252608.1,NA,40189,Chris Heaton-Harris,Con,13/10/2010,Draft EU Budget 2011,We are discussing the EU budget for 2011.,1,19
text1282434.1,NA,52660,Gordon Banks,Lab,26/01/2011,Value Added Tax [Oral Answers to Questions > Scotland],What recent discussions he has had with the Chancellor of the Exchequer on the effect in Scotland of the increase in the basic rate of value added tax.,0,1
text1526464.2,NA,155258,Cheryl Gillan,Con,19/03/2014,Budget Resolutions and Economic Situation,"Having been Secretary of State for Wales, I was particularly pleased to see the continuation of support to energy-intensive industries through compensation for green levies.",0,7
text1528851.1,NA,156481,David Simpson,DUP,27/03/2014,High Court Judgment (John Downey),"In a question to the assistant chief constable-I believe it was Assistant Chief Constable Harris-my colleague on the Policing Board, Mr Thomas Buchanan, asked about the OTRs.",0,12
156842,text1166054.1,163959,Harriet Harman,Lab,25/03/2009,Engagements [Oral Answers to Questions > Prime Minister],There would be more unemployed if there were the cuts in capital that the Tories propose.,0,1
1268577,text1301532.1,1329298,Chris Ruane,Lab,29/03/2011,Amendment of the Law,"It has done nothing for employment chances in Vale of Clwyd; in fact, it has increased the chance of unemployment there.",0,1
1689912,text1358432.1,1772297,Jon Ashworth,Lab,12/01/2012,Tax Credits [Oral Answers to Questions > Women and Equalities],What assessment she has made of the effect of changes to tax credits on the income of women.,0,1
2387786,text1451020.1,2509528,George Osborne,Con,20/03/2013,Financial Statement,Friend the Member for Burton (Andrew Griffiths) in particular has been a committed champion of the famous brewing industry that employs many of his constituents.,0,99
text1383140.1,NA,92155,Elizabeth Truss,Con,24/04/2012,Topical Questions [Oral Answers to Questions > Treasury],"Since that date, youth unemployment in Germany has halved.",0,1
text1443878.1,NA,118821,Ian Murray,Lab,26/02/2013,Groceries Code Adjudicator Bill [Lords],"The scheme provides for the application of certain arbitration rules, with London as the default location for any arbitration.",0,15
text1496394.1,NA,140735,David Jones,Con,20/11/2013,SMEs [Oral Answers to Questions > Wales],"He will know that the national insurance contributions employment allowance will benefit 35,000 businesses across Wales by a total of £50 million, with 20,000 of those businesses being taken out employer national insurance contributions altogether, which I would have thought his constituents welcomed.",0,13
text1535172.1,NA,160177,Nick Smith,Lab,01/05/2014,Work Programme (Wales),"In March, adult unemployment was 8% and youth unemployment was 11.8%, nearly double the Wales average of 6.4%.",0,1
1533740,text1336934.1,1606571,Stephen Timms,Lab,18/10/2011,Pensions Bill [Lords],"I was pleased that the Minister sounded well disposed towards it, although we shall need to know precisely what is going to happen to make its aims a reality.",0,20
text1275810.1,NA,49287,Nick Gibb,Con,20/12/2010,School Standards [Oral Answers to Questions > Education],"In 2010, at key stage 2, 78% of pupils in Central Devon achieved level 4 or above in English and maths combined, compared with 73% in England.",0,6
text1280258.1,NA,51454,Karen Buck,Lab,19/01/2011,Education Maintenance Allowance [petition],Those 250 pupils alone justify the expenditure on EMA.,0,6
text1317941.1,NA,66769,Stewart Hosie,SNP,21/06/2011,Scotland Bill,"Speaking of sharing information, the Minister has raised the spectre of the Azores ruling, but a comparable and permanent reduction to the block grant in place of the devolution of corporation tax would certainly meet all the state aid rules.",1,1
text1529344.1,NA,156880,Mark Harper,Con,31/03/2014,Wales Bill,The limit is higher than if it had been set solely by reference to the same tax borrowing ratio that applies to Scotland.,0,1
text1532343.1,NA,158523,Jonathan Edwards,PlaidCymru,09/04/2014,Finance (No. 2) Bill,"I am similarly amazed that the Secretary of State for Wales is not pushing for the devolution of APD at the highest level, as it would provide us with the ability to develop the Welsh economy, which should be one of his core objectives.",0,21
1202419,text1292346.1,1259193,Theresa Villiers,Con,01/03/2011,Rail Services (South-East London),"It is important to mention some major capacity improvements, which will be delivered in the years to come.",0,10
1340351,text1310150.1,1404731,John Glen,Con,16/05/2011,"Middle East, North Africa, Afghanistan and Pakistan","There was a great expectation that the operation would all be over immediately and that everything would be fine, but that was never my expectation when I voted for the no-fly zone on 21 March.",0,19
2157354,text1420513.1,2265254,Eilidh Whiteford,SNP,26/11/2012,Small Charitable Donations Bill,"That will help keep account details more secure, but it also heralds further changes in how we conduct transactions, including charitable donations.",0,1
2389953,text1451190.1,2511800,Diana Johnson,Lab,20/03/2013,Budget Resolutions and Economic Situation,Today's figures show that there is 12% unemployment in my constituency against a national average of just over 5%.,0,1
2482761,text1462680.1,2609462,Caroline Flint,Lab,06/06/2013,Off Grid Gas [Oral Answers to Questions > Energy and Climate Change],"In the absence of a legally binding decarbonisation target, will the Secretary of State at least confirm that his long overdue delivery plan will be in line with our legally binding carbon budgets, or will the Government be rewriting the fourth carbon budget?",0,8
text1169658.1,NA,8589,Michael Jack,Con,22/04/2009,Budget Resolutions and Economic Situation,I do not think that any of us have seen such an enormous turnaround-not just in the United Kingdom economy but in the global economy-involving such very large numbers in so short a space of time.,0,1
text1236542.1,NA,35481,Angela Eagle,Lab,24/06/2010,Budget Resolutions and Economic Situation,Those who voted Lib Dem did not expect their chosen party to experience a wholesale conversion to Tory fiscal hawkery after a quick cup of tea with the Governor of the Bank of England.,0,20
text1296218.1,NA,58521,David Gauke,Con,14/03/2011,Scotland Bill,"Such large sums of accrued EYF present a fiscal risk to the UK Government, which is why new arrangements will be detailed in the forthcoming Budget.",0,1
text1437314.1,NA,115617,Jonathan Reynolds,Lab,30/01/2013,Europe,"The Prime Minister must realise that no amount of renegotiation, repatriation or reorganisation will satisfy some of his Eurosceptic Back Benchers.",1,20
1076298,text1275491.1,1125473,Christopher Huhne,LibDem,16/12/2010,Electricity Market Reform,"The electricity that they deliver must be both affordable and sustainable, helping us to meet our emissions reduction targets and keep the lights on.",0,8
1193895,text1291290.1,1250258,Tom Harris,Lab,17/02/2011,Rail Investment,"In almost every other industry that was intrinsically profitable and was therefore privatised, innovation flourished.",0,10
1268878,text1301556.1,1329605,Emma Reynolds,Lab,29/03/2011,Amendment of the Law,This transfer will disproportionately benefit the banks at the expense of manufacturing.,0,1
1800115,text1373377.1,1889001,Chris White,Con,06/03/2012,Manufacturing and Engineering,That does not mean that we should ignore manufacturing for domestic supply.,0,1
2154410,text1420037.1,2262040,Iain Wright,Lab,22/11/2012,Industrial Policy and Manufacturing,We believe that there is a need for an intelligent industrial strategy.,0,1
2164920,text1421448.1,2273477,Eric Joyce,Independent,28/11/2012,UK-Listed Mining Companies,"They are not thinking about this huge beast, which is the UK listed sector, or about the scale of the contribution that mining makes.",0,8
2347327,text1445760.1,2466989,David Davis,Con,04/03/2013,Justice and Security Bill [Lords],"That means not that CMPs should be impossible to use, but that restriction should be the order of the day.",0,12
2514930,text1466747.1,2643412,Bridget Phillipson,Lab,20/06/2013,"Tourism [Oral Answers to Questions > Oral Answers to Questions > Culture, Media and Sport > Culture, Media and Sport]",The situation facing the tourism industry in the north-east is unfortunately less positive.,0,15
2704826,text1491637.1,2843735,Sheila Gilmore,Lab,04/11/2013,National Insurance Contributions Bill,"It is clear to anyone that even if those figures are accurate, and even if factors such as the re-categorisation of jobs into different sectors are taken into account, the pace of job creation is not quite as dramatic or as effective as we might think.",0,13
text1180259.1,NA,12325,Paul Holmes,LibDem,11/06/2009,Policing in the 21st Century,"Brian Paddick, a former assistant commissioner in the Metropolitan police, said:“The problem with the Home Office was nationally imposed targets, some of which were having perverse outcomes”, although they were set with the best of intentions.",0,12
text1246974.1,NA,38228,Elizabeth Truss,Con,27/07/2010,A11 (Dualling),"We are a county that delivers jobs, 72% of which are in the private sector, and we are a net contributor to the overall tax pot.",0,14
text1264470.1,NA,44755,Bob Ainsworth,Lab,16/11/2010,Policing (West Midlands),"The cuts have been structured in such a way that the high-crime areas-including the west midlands, which has bigger problems although it is not the only such area-are being disproportionally hit by the way that the Government are making the cuts.",0,12
text1323043.1,NA,68429,Chris Leslie,Lab,05/07/2011,Finance (No. 3) Bill,"The rushed decision to make a tax raid on North sea oil means that companies are reconsidering their future in Britain, and puts investment and jobs in jeopardy.",0,15
text1360415.1,NA,82964,Ann McKechin,Lab,18/01/2012,Female Employment (Scotland),"Women hold about two thirds of jobs in the public sector, and job reductions north of the border are occurring somewhat later than in England.",0,5
text1372368.1,NA,88033,Laurence Robertson,Con,01/03/2012,Northern Ireland Economy,Corporation tax across the United Kingdom is on its way down.,0,1
text1415513.1,NA,105385,William Bain,Lab,06/11/2012,European Union (Croatian Accession and Irish Protocol) Bill,"Whereas 20 years ago it was recovering from the aftermath of the conflict with Serbia, the siege of Dubrovnik and the break-up of Yugoslavia, Croatia now has exciting plans to diversify its economy and invest in energy and tourism, and is cutting its deficit to under 4% of GDP, albeit in a period of somewhat patchy economic growth.",1,1
text1473207.1,NA,131564,Graeme Morrice,Lab,09/07/2013,HMS Concord (Yangtze River Incident),"On 21 April, HMS Amethyst was refloated, and on 22 April Lieutenant Commander Kerans arrived on board from Nanking, where he was assistant naval attaché, and took command.",0,16
304142,text1180731.1,316645,Alan Whitehead,Lab,15/06/2009,Business Rates,"If it is decided not to change the legislation, deferring business rate increases is a logical step to take.",0,1
1161268,text1286771.1,1216109,George Osborne,Con,08/02/2011,Gross Domestic Product [Oral Answers to Questions > Treasury],We have had to deal with his economic legacy and he is running away from his past.,0,1
1948471,text1393435.1,2044429,Grahame M Morris,Lab,20/06/2012,Regional Pay,What is truly outrageous is that Ministers waste their time targeting low-paid public servants when the real crisis is in the private sector.,0,1
text1218603.1,NA,27799,Bill Cash,Con,23/02/2010,"Children, Schools and Families Bill","By the sound of it, the matter is an absolute for the Secretary of State, as it is for those who subscribe to the ECHR.",1,19
text1231417.1,NA,33480,Bill Cash,Con,07/06/2010,Political and Constitutional Reform Committee,"They are huge matters affecting the entire economy of this country and its stabilisation, not to mention the City of London, regulation and many other things.",0,1
2312104,text1441244.1,2429978,Harriet Harman,Lab,12/02/2013,Topical Questions [Oral Answers to Questions > Deputy Prime Minister],"They might be two separate parties, but for the families they are penalising with the bedroom tax, they are exactly the same.",0,1
text1279750.1,NA,51032,Guto Bebb,Con,18/01/2011,Funding Formula,That figure has reduced to about £112 for every £100 spent in England and obviously that reduction has been highlighted in Wales regularly.,0,1
828381,text1241176.1,865244,Iain Wright,Lab,08/07/2010,Energy Security,"I had not intended to speak at length-I wanted to make a couple of interventions-but I am pleased to participate in an increasingly vital part of public policy, which we will need to consider in the 20 to 30-year period as we move towards a decarbonised economy.",0,8
2233120,text1430248.1,2345716,Anna Soubry,Con,09/01/2013,Antibiotics (Intensive Farms),"Although we might not always make too many friends in the farming industry, we are all responsible for ensuring that we know what we are putting into our bodies and feeding our families.",0,4
3310938,text1569234.1,3488482,Ian Lucas,Lab,26/11/2014,Remploy Workers,"We are fortunate to have a diverse economy, with people working in manufacturing, retail, and the service sector.",0,1
text1207536.1,NA,23746,Peter Hain,Lab,06/01/2010,Economic Inactivity [Oral Answers to Questions > Wales],"Friend the Secretary of State for Work and Pensions and the Government have taken to preserve jobs and get people back to work, the level of economic inactivity in Wales fell by 3,000 from the last quarter.",0,1
text1280870.1,NA,51787,George Freeman,Con,20/01/2011,Horse Racing Levy,"At a time when the Government are rightly putting a lot of emphasis on rebalancing the economy and doing everything they can to promote business and growth beyond the City of London, this giant industry is struggling and we would be well advised to help it.",0,15
text1380379.2,NA,91292,Charlie Elphicke,Con,16/04/2012,Finance (No. 4) Bill,"Companies will claim, “Oh, we're using the Luxembourg tax treaty,” but we have to ask whether the tax is actually paid-that is, is it repatriated to the states where it is actually paid?",0,1
text1388964.1,NA,94463,David Cameron,Con,23/05/2012,G8 and NATO Summits,"However much one can look at the Greek situation and feel for the people who are suffering as a result of unemployment and living standards, there is a crying need for genuine reform in Greece, and for more straightforward and honest politics when it comes to dealing with those problems.",0,1
text1468647.1,NA,129568,James Morris,Con,26/06/2013,High Speed Rail (Preparation) Bill,"Now that our local economy seems to be getting back on track, we need to make sure that the recovery is sustainable, and we need to put in place the infrastructure to make sure that the west midlands is not left behind again.",0,10
text1533084.1,NA,158994,William Hague,Con,28/04/2014,Ukraine,"Clearly, it means that Russia has put itself in a position to do so, and the threat to do so has to be taken seriously.",0,19
text1534496.1,NA,159843,Jonathan Edwards,PlaidCymru,30/04/2014,Wales Bill,The Secretary of State has spoken before of his belief that Wales needs the ability to vary income tax in order to be competitive-spoken as a true Conservative-but then does not offer a power that actually allows for any variation in income tax.,0,1
text1534502.1,NA,159864,Owen Smith,Lab,30/04/2014,Wales Bill,"The logic of that is entirely lost on me, but I should have thought that he would want to check who his European Members are in Wales and where they lived before he determined that they would get a tax break-in her case, a £700 tax break-were his Government to do what the Secretary of State for Wales has suggested and cut all the tax bands in lockstep by 1%.",1,1
text1568423.1,NA,176926,Richard Bacon,Con,25/11/2014,Iran (Nuclear Talks),"It is plain that the Vienna convention requirements must be adhered to before we can consider reopening embassies, but does he agree that, on a broader range of matters such as the return of citizens and nationals, the opening of embassies should be seen not as some sort of reward but as a useful tool that could help in the resolution of a number of the normal kinds of disputes that occur between nations and that on many of those there is in fact some room for negotiation?",0,19
555442,text1209200.1,579585,Helen Goodman,Lab,12/01/2010,Student Finance,Let me explain why we need to deem available income when it might not have been taken up.,0,6
1137387,text1283639.1,1190925,Pat McFadden,Lab,27/01/2011,Decent Homes,"Yes, this is a matter of public spending levels, but it is also a matter of the profile of the cuts, which is adding to the difficulties of ALMOs that are trying to carry out the decent homes programme.",0,14
1819059,text1375840.1,1909028,Simon Hughes,LibDem,14/03/2012,Water Industry (Financial Assistance) Bill,"At that time, Thames Water had a debt to capital ratio of about 45% and an excellent credit rating with all the major rating agencies.",0,21
1905400,text1387751.1,1999532,Huw Irranca-Davies,Lab,17/05/2012,Jobs and Growth,"Let us be clear: if Labour had won the election, we would have had to deal with the deficit, but we would have done it in a more measured way, promoting growth, not just pain.",0,5
2298192,text1439199.1,2414903,Mark Field,Con,05/02/2013,HM Revenue and Customs,"We need a far better pre-clearance system, certainly if we are to have a new anti-avoidance rule that is both equitable and, more importantly, effective.",0,1
2533646,text1469227.1,2663427,Karen Buck,Lab,27/06/2013,Legal Aid Reform,This is something I am familiar with in my constituency and have many problems with.,0,12
text1203729.1,NA,22425,Jim Knight,Lab,07/12/2009,Jobseeker's Allowance,"In the same period, employment has risen by 2,685,200 in England and by 11,700 in Wellingborough.",0,5
text1297179.1,NA,59012,Justine Greening,Con,16/03/2011,Fuel Prices and the Cost of Living,Let me outline precisely why France was able to get a reduced VAT rate on-,0,1
text1304052.1,NA,61698,Robert Smith,LibDem,05/04/2011,NA,"I am motivated in many ways by the memories of what has happened before to the north-east of Scotland when there has been a downturn in investment � the rows of �For Sale� signs, people handing in the keys to their houses, the repossessions and the loss to the local economy of a major industry.",0,1
text1372150.1,NA,87738,Harriett Baldwin,Con,01/03/2012,CPI/RPI Pensions Uprating,We have given the Bank of England the task of managing the CPI rate.,0,1
text1387736.1,NA,94104,Guto Bebb,Con,17/05/2012,Jobs and Growth,There are not many constituencies in Wales where one can say that private sector employment is greater than public sector employment.,0,5
text1446311.1,NA,119878,Heidi Alexander,Lab,05/03/2013,New Housing Supply,I ask the Minister to consider what more the Government could do about the number of overseas buyers purchasing property in London.,0,14
text1496163.1,NA,140555,Harriett Baldwin,Con,19/11/2013,Women and the Cost of Living,"It is essential that the Governor of the Bank of England, Mark Carney, is able to unwind the current additional monetary stimulus that has been needed since the crash of 2008 without allowing any major deviation from that 2% target.",0,1
text1524266.1,NA,153807,John Baron,Con,11/03/2014,Cancer Treatment and Prevention,"There are always dangers and pitfalls with comparisons-in France, for example, we are comparing with four or five cancer centres of excellence-but by and large the figures are robust in suggesting that we have a major problem with our survival rates.",1,3
text1542905.1,NA,164267,Mark Williams,LibDem,24/06/2014,Wales Bill,"Of course the Silk commission suggested something different, recommending that income tax rates should be capable of variation independently to create better economic conditions in Wales.",0,21
515375,text1204876.1,538133,Alistair Darling,Lab,09/12/2009,Pre-Budget Report,"Today's measures, combined with those from the Budget and last year's pre-Budget report, mean that over half of the additional revenue raised will be paid by the top 2 per cent. of earners.",0,1
801157,text1237859.1,837137,Gregory Barker,Con,30/06/2010,Energy Efficiency,"We have also asked the private sector to join Ministers in this cross-cutting group, so that we can hold Departments to account and ensure that we learn the very best practice from business.",0,8
1871364,text1383018.1,1963502,Danny Alexander,LibDem,24/04/2012,Manufacturing Sector [Oral Answers to Questions > Treasury],"Friend refers could benefit from the national loan guarantee scheme and the credit easing scheme that the Chancellor announced at the Budget, and it could participate in the advanced manufacturing supply chain initiative, which the Department for Business, Innovation and Skills has announced, whereby £125 million is being spent to help manufacturers improve their performance.",0,1
2222126,text1428858.1,2334256,Stephen McPartland,Con,07/01/2013,Corporate Tax Avoidance,"The current international accounting standards only require multinational companies to report accounts on a global consolidated basis, which makes it incredibly difficult to know where taxable economic activities are occurring and where profits are declared.",0,15
2363536,text1447928.1,2484131,Chris Leslie,Lab,11/03/2013,Financial Services (Banking Reform) Bill,"We need clarity in regard to the professional qualifications and competences that are expected, especially in the wholesale sector, and a code of conduct that is monitored and enforced effectively and applies not just to significant influences in the banking sector but to all bank employees.",0,15
2848680,text1510666.1,2995833,Iain Wright,Lab,20/01/2014,Intellectual Property Bill [Lords],"It generates £3.5 billion for the UK economy and provides more than 100,000 jobs.",0,1
text1184736.2,NA,14296,Ian Austin,Lab,30/06/2009,Standards Board for England,"A robust, fair and transparent conduct regime is vital to maintain confidence in democracy, just as the Standards Board for England is vital to the conduct regime.",0,1
text1227389.1,NA,31475,Nick Clegg,LibDem,29/03/2010,European Council,"I imagine that he will be feeling some relief about that, given that in a few short years he has gone from lecturing his colleagues in Europe on how not to run an economy to teaching them how not to run an economy by example.",1,1
text1312677.1,NA,65275,Mark Reckless,Con,24/05/2011,Eurozone Financial Assistance,"Unless and until the ECB deals with that problem and understands that the assets that it has taken supposedly to back the loans are worth far short of what it currently assumes, the banks will not lend, because they do not know to whom it is safe to lend.",1,1
text1318045.1,NA,66862,Ann McKechin,Lab,21/06/2011,Scotland Bill,"Does it believe that there should be a shift from corporation tax to personal income taxation, as has been the case in Switzerland, for example?",0,1
text1382981.1,NA,92125,Kelvin Hopkins,Lab,23/04/2012,Financial Services Bill,"I thought at the time that if the Governor of the Bank of England or the Monetary Policy Committee chose to be hawkish on interest rates when we had a recession on our hands, there could be a serious conflict between the Bank and Government.",0,1
text1431598.1,NA,113461,Richard Burden,Lab,15/01/2013,Manufacturing (West Midlands),"That is why messages of the kind that are coming from the Automotive Council are so important and why we should understand the contribution made to manufacturing by Britain's motor sport industry, many of whose companies are based in the west midlands.",0,15
text1509475.1,NA,146603,Michael Meacher,Lab,15/01/2014,Banking,"As a result, capital ratios are still too low; the proposal to raise them is wrongly being delayed until 2018-19 to fit in with Basel III; the use of offshoring and tax havens has hardly been reduced at all; lending to UK industry remains deplorably low; the shadow banking system has not been effectively tackled; and managerial oversight will not be enforced until the Tyrie commission proposal, which is a good one, to hold individual directors and executives to account by disqualification or a custodial sentence is implemented.",0,15
1434729,text1322960.1,1503116,Chris Williamson,Lab,05/07/2011,Finance (No. 3) Bill,"They are struggling: we know that the economy is flatlining, that the Government's attempts at growing the economy are failing and that there is a need for a plan B.",0,1
2176806,text1423103.1,2286243,Chris Ruane,Lab,04/12/2012,Mindfulness-based Therapy,I have asked dozens of questions-perhaps hundreds-on mindfulness and often the response comes back that information is not collected centrally.,0,1
text1274361.1,NA,48406,Madeleine Moon,Lab,14/12/2010,North Atlantic Treaty [Oral Answers to Questions > Foreign and Commonwealth Office],"Sea lanes of communication are a critical component of the global economy, especially those in the north Atlantic that facilitate trade between the US and the UK.",0,19
text1509028.1,NA,146343,Sheila Gilmore,Lab,14/01/2014,High Speed 2,"The fundamental underpinning of that view is the need to grow our economy throughout the United Kingdom, and improved connectivity is a crucial part of achieving that.",0,10
1832892,text1377630.1,1923376,Ed Miliband,Lab,21/03/2012,Amendment of the Law,"The Chancellor's decision today means that each of them will get a tax cut-not of £1,000, not of £5,000, not of £10,000, but of over £40,000-",0,1
1957055,text1394664.1,2053454,Damian Hinds,Con,26/06/2012,Secondary Education (GCSEs),"Although there have been many factors at play with grade inflation, there are three root causes among which there is interplay: the pressure on schools to deliver the results; the competitive land grab for volume market share on behalf of the competing exam boards; and a too malleable system that attempts to put everything on a single scale when everything does not necessarily fit together.",0,6
1981652,text1397862.1,2079597,Margaret Ritchie,SDLP,04/07/2012,Nuclear Power,"There is a pattern of activity to underscore that, because every statement from and move by the industry is a tacit admission of that fact.",0,8
text1237398.1,NA,35635,Jim Cunningham,Lab,29/06/2010,Local Government Financing,"Incidentally, the present Governor of the Bank of England went along with the economic stimulus-the same man now advising the Government to go down the road of wholesale cuts.",0,21
text1401162.1,NA,99309,Jacob Rees-Mogg,Con,12/07/2012,Draft European Union Budget,"Of course I would like to see more; I would like a cash decrease in the budget and a remarkably small EU budget in general, but, given the difficult circumstances that the Government face, they have done extraordinarily well.",1,1
text1535493.1,NA,160424,Owen Smith,Lab,06/05/2014,Wales Bill,"Gentleman accept that if a similar rationale were employed in this Bill to that which was employed in Scotland, the borrowing limit would be nearer £1.3 billion in total-£130 million a year-reflecting the £1.3 billion capital budget in Wales, which, as I say for the fourth time, was the rationale that was employed in respect of the Scotland Act, not the ratio between the borrowing and the amount of devolved taxation, as has been post hoc used as a justification in this Bill?",0,1
875626,text1247873.1,914169,Alun Cairns,Con,07/09/2010,Superannuation Bill,"When I discussed those levels of payments with some of the constituents who got in touch with me expressing concern about their own interests, they showed equal disdain towards the levels of compensation that are paid, and they would recognise the absolute need for reform.",0,20
1323963,text1308312.1,1387456,Oliver Colvile,Con,10/05/2011,Energy Bill [Lords],"Whereas most businesses are keen to keep their costs down and avoid regulation, I have noticed that the moves to improve environmental code levels have come about only because politicians have challenged the development industry to meet these improvements.",0,8
1325653,text1308404.1,1389247,Andrew Selous,Con,10/05/2011,Ultra Low-Carbon Emission Vehicles,"The Minister is being generous in giving way, which I appreciate.",0,7
1504835,text1332945.1,1576433,John Baron,Con,14/09/2011,Energy Bill [Lords],"Ofgem calculates that one third of those who switch do not achieve a price reduction, although the vast majority switch in order to save money.",0,8
1674164,text1356495.1,1755576,Gordon Marsden,Lab,19/12/2011,Apprenticeships,A recent British Chambers of Commerce skills survey showed that many employers were still not ready to engage with the programme.,0,5
1800139,text1373378.1,1889026,Jeremy Lefroy,Con,06/03/2012,Manufacturing and Engineering,"In the past couple of years, there have been major announcements of investments, particularly in the motor industry.",0,15
2283965,text1437346.1,2399704,Albert Owen,Lab,30/01/2013,Europe,The Chancellor used to boast about how good the Irish economy was.,1,1
2616195,text1480364.1,2750737,Nicholas Soames,Con,09/09/2013,G20,"Given that the core purpose of the G20 is the global economy, will the Prime Minister confirm that the agenda for global free trade is of extreme and first importance at this time, and that he will work within the G20 to promote that agenda beyond 2016?",0,18
text1563435.1,NA,174507,Matt Hancock,Con,05/11/2014,Rolls-Royce (Aerospace Group),"Furthermore, international stability and ensuring that sovereign territory is not violated by other sovereign states constitute a crucial principle of global order, and that in itself means that it is necessary to take sanctions against Russia following its action in Ukraine.",0,19
236998,text1173955.1,247098,Phil Hope,Lab,12/05/2009,Maternity/Paediatric Services (Greater Manchester) [Oral Answers to Questions > Health],Friend's desire to ensure that the changes are delivered on budget and on time.,0,3
1235117,text1296899.1,1294025,Jim Dobbin,Lab,15/03/2011,National Blood Service,It is aware of the current economic situation and the constraints that it is working within over the next few years.,0,5
text1229312.1,NA,32198,Eric Joyce,Lab,07/04/2010,Iraq (Humanitarian Aid),"Perhaps we should reflect on the fact that in 1979, Iraq had a similar GDP to Portugal; within a few years of Saddam taking power, its economy was in pieces.",0,19
17754,text1150876.1,18525,Shona McIsaac,Lab,19/01/2009,Port of Liverpool (Business Rates),Is she aware of the estimate that some 700 companies nationally are being affected by these changes?,0,15
279209,text1178327.1,290776,Phil Hope,Lab,03/06/2009,Back Pain Treatment (Costs),The provisional pilots are still developing their proposals and we will know more about their scope in due course.,0,3
790178,text1236457.1,825629,Mark Field,Con,24/06/2010,Budget Resolutions and Economic Situation,The Geddes committee was to become the most thorough and rigorous outside investigation of public expenditure ever conducted in Britain.,0,1
1462823,text1326876.1,1532465,Andrew Mitchell,Con,14/07/2011,Future of CDC,CDC investments in India will be in addition to the 50% of the programme funding that we expect to be spent on pro-poor private sector development over the next four years.,0,19
2614028,text1480047.1,2748423,Sheryll Murray,Con,06/09/2013,Deep Sea Mining Bill,"By passing the Bill, we can also make a big contribution to the UK economy over the next 30 years.",0,8
